                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.33664,                0.35777,                0.21384,                0.87067,                0.99872,                      1,                0.99499,                0.98798,                0.99872,                      1,                0.99499,                0.88186,                0.19637,                 1.1792,                0.14237,                 0.9419,              0.0010892,              0.0010892,              0.0010892
                     49,                0.32886,                0.34642,                 0.2087,                0.87071,                0.99997,                      1,                  0.995,                0.98803,                0.99997,                      1,                  0.995,                0.89086,                0.21477,                 1.0962,                0.37768,                0.97978,              0.0010694,              0.0010694,              0.0010694
                     50,                0.32357,                0.34436,                 0.2119,                0.86794,                 0.9998,                0.99945,                  0.995,                0.99031,                 0.9998,                0.99945,                  0.995,                0.89099,                0.35594,                 1.1686,                0.48903,                 1.1085,              0.0010496,              0.0010496,              0.0010496
                     51,                0.32746,                0.34499,                0.20853,                0.87218,                0.99936,                0.99945,                  0.995,                0.98987,                0.99936,                0.99945,                  0.995,                0.89511,                0.19511,                 1.0274,                0.31969,                0.96398,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.3288,                0.33396,                0.21189,                0.87049,                0.99997,                      1,                  0.995,                0.98933,                0.99997,                      1,                  0.995,                 0.8897,                0.17617,                 1.1451,                0.18311,                0.94362,                0.00101,                0.00101,                0.00101
                     53,                0.32507,                0.34946,                0.20924,                0.86703,                0.99997,                      1,                  0.995,                0.99116,                0.99997,                      1,                  0.995,                0.90869,                0.17717,                0.98772,                0.17573,                0.94863,              0.0009902,              0.0009902,              0.0009902
                     54,                0.32375,                0.33722,                0.21016,                0.86746,                0.99974,                      1,                  0.995,                0.98662,                0.99974,                      1,                  0.995,                0.89034,                0.34268,                0.89705,                0.64435,                 1.0789,              0.0009704,              0.0009704,              0.0009704
                     55,                0.32339,                0.33476,                0.20791,                0.87086,                      1,                 0.9999,                  0.995,                0.74317,                      1,                 0.9999,                  0.995,                 0.6692,                0.34528,                 1.0637,                0.56905,                 1.0851,              0.0009506,              0.0009506,              0.0009506
                     56,                0.31674,                0.33794,                0.20372,                0.86876,                0.99996,                      1,                  0.995,                0.98694,                0.99996,                      1,                  0.995,                0.89125,                0.22392,                0.94298,                0.17988,                0.94698,              0.0009308,              0.0009308,              0.0009308
                     57,                0.31895,                0.33331,                0.20198,                0.86867,                0.99999,                      1,                  0.995,                0.99136,                0.99999,                      1,                  0.995,                0.89489,                0.32349,                0.99534,                0.54112,                  1.051,               0.000911,               0.000911,               0.000911
